                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.81789,                 1.0362,                0.64395,                0.91612,                0.85539,                0.90847,                  0.934,                0.67576,                0.84987,                0.90298,                0.92767,                0.64723,                 1.0172,                 1.2468,                0.73131,                0.98887,             0.00025452,             0.00025452,             0.00025452
                     49,                0.83179,                 1.0426,                0.65758,                0.91491,                0.93493,                0.94804,                0.97834,                0.70219,                0.92899,                0.94225,                0.97128,                0.67587,                 1.0186,                 1.2478,                0.62041,                0.99504,              0.0002498,              0.0002498,              0.0002498
                     50,                 0.8292,                 1.0418,                0.63686,                0.91359,                0.89092,                0.94092,                0.96558,                0.68849,                 0.8815,                0.93125,                0.95279,                0.65453,                 1.0237,                 1.2475,                0.66972,                 1.0008,             0.00024509,             0.00024509,             0.00024509
                     51,                0.80769,                 1.0013,                0.62185,                0.90584,                0.89115,                0.92988,                0.96271,                0.68375,                0.87966,                0.91812,                0.94625,                0.65286,                 1.0392,                 1.2295,                0.65191,                 1.0033,             0.00024038,             0.00024038,             0.00024038
                     52,                0.79749,                0.99199,                0.61183,                0.90217,                0.93972,                0.96359,                0.98072,                0.70701,                0.92975,                 0.9539,                0.96978,                0.67022,                 1.0144,                 1.2611,                0.58288,                0.98901,             0.00023567,             0.00023567,             0.00023567
                     53,                0.81655,                  1.037,                0.62417,                0.90825,                0.87831,                 0.9024,                0.94272,                0.68066,                0.87687,                0.90032,                0.94132,                0.64829,                 1.0302,                 1.2748,                0.66904,                0.99849,             0.00023096,             0.00023096,             0.00023096
                     54,                0.79768,                 1.0176,                0.61471,                 0.9098,                0.90458,                0.93254,                0.96624,                0.70005,                0.90299,                0.93058,                0.96664,                0.67119,                 1.0209,                 1.2416,                0.61552,                0.98934,             0.00022624,             0.00022624,             0.00022624
                     55,                 0.8083,                  1.008,                0.61091,                0.90779,                0.91706,                 0.9371,                0.96908,                0.70686,                0.91712,                 0.9371,                 0.9706,                   0.68,                 1.0099,                 1.2524,                0.60187,                0.98907,             0.00022153,             0.00022153,             0.00022153
                     56,                0.80464,                0.99852,                0.60248,                 0.9028,                 0.9226,                0.95219,                0.97685,                0.70763,                0.91671,                0.94644,                0.97078,                0.67547,                 1.0042,                 1.2456,                0.57545,                0.99167,             0.00021682,             0.00021682,             0.00021682
                     57,                  0.801,                 1.0274,                0.59893,                0.90588,                0.94816,                0.92814,                0.97668,                0.70205,                0.94859,                 0.9258,                0.97758,                 0.6751,                 1.0168,                 1.2659,                0.57638,                 0.9928,             0.00021211,             0.00021211,             0.00021211
                     58,                0.78558,                 0.9875,                0.58261,                0.90052,                0.93217,                0.94248,                0.97063,                0.69871,                0.92646,                 0.9366,                0.96357,                 0.6751,                 1.0203,                 1.2432,                0.60512,                0.99126,             0.00020739,             0.00020739,             0.00020739
                     59,                0.78262,                0.96686,                0.58955,                0.89903,                0.92738,                 0.9475,                0.96865,                0.69714,                0.92718,                0.94764,                0.96725,                0.67112,                 1.0222,                 1.2575,                0.60123,                0.99188,             0.00020268,             0.00020268,             0.00020268
                     60,                0.79958,                 1.0128,                0.59847,                0.90683,                0.95504,                0.96407,                 0.9871,                0.71496,                0.95304,                0.95858,                   0.98,                0.68056,                0.99779,                 1.2556,                0.55707,                0.99309,             0.00019797,             0.00019797,             0.00019797
                     61,                0.78564,                0.97309,                0.57789,                0.89938,                0.91738,                0.92291,                0.96255,                0.69691,                0.91112,                0.91726,                 0.9545,                0.66254,                 1.0134,                 1.2677,                0.62299,                0.99018,             0.00019326,             0.00019326,             0.00019326
                     62,                0.78972,                0.98988,                0.57537,                0.90028,                0.92698,                  0.958,                 0.9731,                0.70368,                0.92141,                0.95125,                0.96523,                0.66605,                 1.0163,                 1.2802,                0.57909,                 0.9967,             0.00018854,             0.00018854,             0.00018854
                     63,                0.77753,                0.97411,                0.56913,                 0.8927,                0.93853,                0.95242,                0.97372,                0.70183,                0.92828,                0.94014,                0.95812,                0.66864,                 1.0128,                 1.2787,                0.57499,                0.99389,             0.00018383,             0.00018383,             0.00018383
                     64,                0.77657,                 0.9745,                0.58501,                0.90102,                0.85447,                0.92475,                0.93787,                0.67529,                0.85061,                0.92082,                0.93285,                0.64642,                 1.0251,                  1.281,                0.69056,                0.99798,             0.00017912,             0.00017912,             0.00017912
                     65,                0.78271,                0.97612,                0.58708,                0.90399,                0.94921,                0.97619,                0.98497,                0.70647,                0.94136,                0.96834,                0.97437,                0.67824,                 1.0273,                  1.321,                0.54201,                 1.0082,             0.00017441,             0.00017441,             0.00017441
                     66,                0.78744,                 0.9845,                0.58198,                0.90001,                0.92371,                0.92838,                0.96464,                0.70043,                0.92446,                0.92817,                0.96142,                0.67459,                 1.0196,                 1.2865,                0.60106,                  1.003,             0.00016969,             0.00016969,             0.00016969
                     67,                0.77494,                0.97687,                 0.5732,                0.89415,                0.94295,                0.94387,                 0.9742,                0.70688,                0.93308,                0.93421,                0.95978,                0.66993,                 1.0147,                 1.2435,                 0.5755,                0.99761,             0.00016498,             0.00016498,             0.00016498
                     68,                 0.7843,                0.98518,                0.57374,                0.90091,                0.93974,                0.95326,                0.97377,                0.71319,                0.93802,                 0.9513,                0.97335,                0.67546,                0.99906,                 1.2359,                0.55915,                0.98755,             0.00016027,             0.00016027,             0.00016027
                     69,                0.77022,                0.96527,                0.56188,                0.89325,                0.91227,                0.95688,                0.97237,                0.71261,                0.90439,                0.94903,                0.96195,                 0.6726,                 1.0079,                 1.2569,                 0.5842,                0.99393,             0.00015556,             0.00015556,             0.00015556
                     70,                0.77188,                0.96273,                0.56158,                0.89897,                0.87658,                0.94309,                0.95394,                0.69277,                0.87259,                0.93917,                0.95028,                0.66483,                 1.0167,                 1.2803,                0.62281,                0.99677,             0.00015084,             0.00015084,             0.00015084
                     71,                0.76591,                0.96403,                0.56178,                0.89998,                0.94582,                0.95594,                0.97662,                0.70716,                0.93333,                0.94444,                0.96449,                0.67203,                  1.015,                 1.2963,                0.56892,                0.99783,             0.00014613,             0.00014613,             0.00014613
                     72,                0.75728,                0.95416,                0.55505,                0.89408,                0.94798,                 0.9509,                0.97422,                0.70897,                0.94604,                0.94894,                 0.9744,                0.67714,                 1.0201,                 1.2749,                0.55668,                0.99787,             0.00014142,             0.00014142,             0.00014142
                     73,                0.73809,                0.93246,                0.54129,                0.88276,                0.91735,                0.94208,                0.96369,                0.69992,                0.91512,                0.93854,                 0.9585,                0.67056,                  1.023,                 1.2876,                  0.598,                 1.0004,             0.00013671,             0.00013671,             0.00013671
                     74,                0.77495,                0.96742,                0.56281,                0.89837,                0.93912,                0.94893,                0.97237,                0.71178,                0.93812,                0.93585,                0.95786,                0.67725,                 1.0066,                 1.2808,                0.56657,                 0.9947,             0.00013199,             0.00013199,             0.00013199
                     75,                0.75444,                0.94665,                  0.555,                 0.8938,                0.92642,                0.94188,                 0.9748,                 0.7074,                0.91631,                0.93221,                 0.9622,                0.67495,                 1.0113,                 1.2666,                0.57718,                0.99425,             0.00012728,             0.00012728,             0.00012728
                     76,                0.76314,                0.96286,                0.55424,                0.89169,                0.91347,                0.92561,                0.96479,                0.69893,                0.90791,                0.91972,                0.95453,                 0.6689,                 1.0177,                 1.2958,                0.60549,                0.99316,             0.00012257,             0.00012257,             0.00012257
                     77,                0.75033,                0.95462,                0.54995,                0.89225,                0.93476,                0.94794,                0.97336,                0.70908,                0.93473,                0.94781,                0.97466,                0.67904,                 1.0048,                 1.2797,                0.56525,                0.99485,             0.00011786,             0.00011786,             0.00011786
                     78,                0.75937,                0.94938,                0.55163,                0.89338,                0.93885,                0.95231,                 0.9727,                0.71085,                0.93686,                0.95035,                0.97287,                0.67786,                 1.0072,                 1.2715,                0.56179,                0.99316,             0.00011315,             0.00011315,             0.00011315
                     79,                0.75314,                 0.9389,                0.54482,                0.89285,                0.89915,                0.94052,                0.96179,                0.69941,                0.89534,                 0.9366,                0.95738,                0.67305,                 1.0061,                 1.2776,                0.61219,                0.99436,             0.00010843,             0.00010843,             0.00010843
                     80,                 0.7442,                0.94147,                  0.533,                0.89132,                0.90474,                 0.9314,                0.95918,                0.70187,                0.89935,                0.92552,                0.95037,                0.66852,                 1.0104,                 1.2705,                0.60372,                0.99253,             0.00010372,             0.00010372,             0.00010372
                     81,                0.73664,                0.92197,                 0.5375,                0.88295,                0.91241,                0.93455,                 0.9653,                0.70001,                0.90471,                0.92671,                0.95447,                0.66393,                 1.0102,                 1.2939,                0.59495,                0.99118,             9.9008e-05,             9.9008e-05,             9.9008e-05
                     82,                0.73948,                0.92405,                0.53268,                0.88688,                0.91827,                 0.9057,                0.95945,                0.69933,                0.91551,                0.90169,                0.94954,                0.66528,                 1.0091,                  1.291,                0.59715,                 0.9976,             9.4296e-05,             9.4296e-05,             9.4296e-05
                     83,                0.76576,                0.97143,                0.54268,                0.88803,                 0.9096,                0.93816,                0.96234,                0.69744,                 0.9021,                0.93032,                  0.954,                0.66819,                 1.0192,                 1.2913,                0.59594,                0.99803,             8.9583e-05,             8.9583e-05,             8.9583e-05
                     84,                0.74271,                0.93524,                 0.5353,                0.88881,                0.92634,                0.92772,                0.96335,                0.70529,                0.92518,                0.92399,                0.95992,                0.67306,                 1.0056,                 1.2706,                0.58106,                0.99641,             8.4871e-05,             8.4871e-05,             8.4871e-05
                     85,                 0.7347,                0.93144,                0.54373,                 0.8913,                0.92504,                 0.9268,                0.96835,                0.69975,                0.92015,                0.91591,                0.95343,                0.66112,                 1.0201,                 1.3021,                0.58154,                 1.0017,             8.0158e-05,             8.0158e-05,             8.0158e-05
                     86,                0.72659,                0.93319,                0.52917,                 0.8905,                0.91777,                0.90929,                0.96011,                0.70392,                0.91195,                 0.9034,                0.95239,                0.66971,                0.99639,                 1.2711,                0.59476,                  0.988,             7.5446e-05,             7.5446e-05,             7.5446e-05
                     87,                0.73503,                0.93112,                0.53122,                0.89288,                0.90776,                0.90331,                0.95559,                0.69729,                0.90162,                0.89743,                0.94891,                0.66428,                0.99537,                 1.2888,                0.61161,                0.99267,             7.0734e-05,             7.0734e-05,             7.0734e-05
                     88,                0.73783,                0.94325,                0.52992,                0.88879,                0.90334,                0.91815,                0.95717,                0.70506,                0.89752,                0.91227,                0.95019,                0.66734,                 0.9898,                 1.2614,                0.59369,                0.98646,             6.6021e-05,             6.6021e-05,             6.6021e-05
                     89,                0.74055,                0.93529,                0.54605,                 0.8898,                 0.9073,                 0.9332,                0.96403,                0.70151,                0.90075,                 0.9244,                0.95338,                0.66518,                 1.0119,                 1.3003,                0.59935,                0.99747,             6.1309e-05,             6.1309e-05,             6.1309e-05
                     90,                0.72582,                  0.934,                0.52568,                0.88836,                0.93616,                0.93622,                0.97293,                0.70891,                0.92616,                0.92641,                0.96258,                0.67191,                0.98778,                 1.2763,                0.56844,                 0.9887,             5.6596e-05,             5.6596e-05,             5.6596e-05
                     91,                 0.6853,                0.87999,                0.48864,                0.87062,                0.92136,                0.93351,                 0.9612,                0.70175,                 0.9218,                0.93339,                0.96362,                0.66965,                  1.005,                 1.2876,                0.57936,                0.99005,             5.1884e-05,             5.1884e-05,             5.1884e-05
                     92,                0.67817,                0.86585,                0.49162,                0.86674,                0.93061,                 0.9285,                0.96725,                0.69919,                0.92665,                0.92458,                0.96315,                0.66577,                 1.0131,                 1.3139,                0.57264,                0.99844,             4.7172e-05,             4.7172e-05,             4.7172e-05
                     93,                 0.6701,                0.85819,                0.47621,                0.86871,                0.94755,                0.94493,                0.97828,                0.71132,                0.93455,                0.94361,                0.96864,                0.67588,                0.99824,                 1.2976,                0.54771,                0.99155,             4.2459e-05,             4.2459e-05,             4.2459e-05
                     94,                 0.6641,                0.85531,                0.46893,                0.86593,                0.93885,                0.94113,                0.97285,                0.70592,                0.93094,                0.93329,                0.96459,                0.67047,                 1.0123,                 1.3066,                0.55703,                0.99599,             3.7747e-05,             3.7747e-05,             3.7747e-05
                     95,                0.67457,                0.85317,                0.47391,                0.86404,                0.93267,                0.91455,                0.96192,                0.70315,                 0.9289,                0.91063,                 0.9599,                0.66525,                 1.0014,                 1.2981,                0.58604,                0.99294,             3.3034e-05,             3.3034e-05,             3.3034e-05
                     96,                0.66438,                0.86229,                0.46744,                0.86505,                0.92052,                0.91602,                0.95713,                0.69812,                0.91281,                0.90818,                0.94991,                0.66088,                 1.0079,                 1.3101,                0.59888,                0.99571,             2.8322e-05,             2.8322e-05,             2.8322e-05
                     97,                0.65942,                0.85831,                0.46631,                0.86448,                0.91305,                0.91549,                0.95836,                0.69545,                0.90321,                0.90588,                0.94656,                  0.656,                 1.0089,                 1.3153,                0.60158,                0.99632,              2.361e-05,              2.361e-05,              2.361e-05
                     98,                0.66157,                0.84434,                0.46813,                0.86066,                0.91602,                0.92396,                0.95903,                 0.7013,                0.91021,                0.91808,                0.95159,                0.66275,                0.99985,                 1.3089,                0.58357,                 0.9922,             1.8897e-05,             1.8897e-05,             1.8897e-05
                     99,                0.65927,                0.84217,                0.46813,                0.86319,                0.91878,                0.94344,                0.96844,                0.70476,                0.91492,                0.93952,                0.96334,                0.66939,                  1.001,                 1.3171,                0.56722,                0.99382,             1.4185e-05,             1.4185e-05,             1.4185e-05
                    100,                0.65362,                 0.8425,                0.46531,                0.86024,                0.94517,                0.92585,                0.97003,                0.70435,                0.94127,                0.92193,                0.96473,                0.67204,                  1.001,                 1.3137,                0.56084,                0.99329,             9.4724e-06,             9.4724e-06,             9.4724e-06
